,Unnamed: 0,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,idefics_caption,idefics_answer
0,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=302x232 at 0x7FABCC50B190>,Which of the following could Gordon's test show?,"['if the spacecraft was damaged when using a parachute with a 1 m vent going 200 km per hour', 'how steady a parachute with a 1 m vent was at 200 km per hour', 'whether a parachute with a 1 m vent would swing too much at 400 km per hour']",1,"People can use the engineering-design process to develop solutions to problems. One step in the process is testing if a potential solution meets the requirements of the design.
The passage below describes how the engineering-design process was used to test a solution to a problem. Read the passage. Then answer the question below.

Gordon was an aerospace engineer who was developing a parachute for a spacecraft that would land on Mars. He needed to add a vent at the center of the parachute so the spacecraft would land smoothly. However, the spacecraft would have to travel at a high speed before landing. If the vent was too big or too small, the parachute might swing wildly at this speed. The movement could damage the spacecraft.
So, to help decide how big the vent should be, Gordon put a parachute with a 1 m vent in a wind tunnel. The wind tunnel made it seem like the parachute was moving at 200 km per hour. He observed the parachute to see how much it swung.
Figure: a spacecraft's parachute in a wind tunnel.",closed choice,grade8,natural science,science-and-engineering-practices,Engineering practices,Evaluate tests of engineering-design solutions,"People can use the engineering-design process to develop solutions to problems. One step in the process is testing if a potential solution meets the requirements of the design. How can you determine what a test can show? You need to figure out what was tested and what was measured.
Imagine an engineer needs to design a bridge for a windy location. She wants to make sure the bridge will not move too much in high wind. So, she builds a smaller prototype, or model, of a bridge. Then, she exposes the prototype to high winds and measures how much the bridge moves.
First, identify what was tested. A test can examine one design, or it may compare multiple prototypes to each other. In the test described above, the engineer tested a prototype of a bridge in high wind.
Then, identify what the test measured. One of the criteria for the bridge was that it not move too much in high winds. The test measured how much the prototype bridge moved.
Tests can show how well one or more designs meet the criteria. The test described above can show whether the bridge would move too much in high winds.",,"The parachute of the Huygens probe, photographed after landing on Titan.","User:WhichofthefollowingcouldGordon'stestshow?A)ifthespacecraftwasdamagedwhenusingaparachutewitha1mventgoing200kmperhourB)howsteadyaparachutewitha1mventwasat200kmperhourC)whetheraparachutewitha1mventwouldswingtoomuchat400kmperhourTheimagehasbeendescribedas:TheparachuteoftheHuygensprobe,photographedafterlandingonTitan.Let'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B)orC)asyourfirstword. 
Assistant: The answer is B) how steady a parachute with a 1 m vent was at 200 km per hour. The image has been described as the parachute of the Huygens probe, photographed after landing on Titan. Let's think step by step and explain your reasoning!"
1,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=452x595 at 0x7FABCC5098D0>,What is the name of the colony shown?,"['Maryland', 'New Hampshire', 'Rhode Island', 'Vermont']",1,,closed choice,grade5,social science,us-history,English colonies in North America,Identify the Thirteen Colonies,,"The colony is New Hampshire.
During the colonial era, New Hampshire and New York both claimed the territory that would later become the state of Vermont. Vermont was never its own colony.","Map of the change to the United States House of Representatives apportionment following the 1810 United States Census. Red denotes states that gained seats, pink denotes states that lost seats, and gray denotes states that did not change in apportionment.","User:Whatisthenameofthecolonyshown?A)MarylandB)NewHampshireC)RhodeIslandD)VermontTheimagehasbeendescribedas:MapofthechangetotheUnitedStatesHouseofRepresentativesapportionmentfollowingthe1810UnitedStatesCensus.Reddenotesstatesthatgainedseats,pinkdenotesstatesthatlostseats,andgraydenotesstatesthatdidnotchangeinapportionment.Let'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B),C)orD)asyourfirstword. 
Assistant: The answer is D) Vermont."
2,9,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=236x241 at 0x7FABCC509FF0>,What is the expected ratio of offspring with a woolly fleece to offspring with a hairy fleece? Choose the most likely ratio.,"['0:4', '4:0', '2:2', '1:3', '3:1']",1,"This passage describes the fleece type trait in sheep:
The fleece, or outer coat, of a sheep is often cut off and used to make yarn for fabrics and other textiles. Woolly fleeces, which have shorter hairs, are usually used for clothing and blankets. Hairy fleeces, which have longer hairs, are usually used for carpets.
In a group of sheep, some individuals have a hairy fleece and others have a woolly fleece. In this group, the gene for the fleece type trait has two alleles. The allele for a hairy fleece (F) is dominant over the allele for a woolly fleece (f).
This Punnett square shows a cross between two sheep.",closed choice,grade8,natural science,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,"Offspring phenotypes: dominant or recessive?
How do you determine an organism's phenotype for a trait? Look at the combination of alleles in the organism's genotype for the gene that affects that trait. Some alleles have types called dominant and recessive. These two types can cause different versions of the trait to appear as the organism's phenotype.
If an organism's genotype has at least one dominant allele for a gene, the organism's phenotype will be the dominant allele's version of the gene's trait.
If an organism's genotype has only recessive alleles for a gene, the organism's phenotype will be the recessive allele's version of the gene's trait.
A Punnett square shows what types of offspring a cross can produce. The expected ratio of offspring types compares how often the cross produces each type of offspring, on average. To write this ratio, count the number of boxes in the Punnett square representing each type.
For example, consider the Punnett square below.
 | F | f
F | FF | Ff
f | Ff | ff
There is 1 box with the genotype FF and 2 boxes with the genotype Ff. So, the expected ratio of offspring with the genotype FF to those with Ff is 1:2.
","To determine how many boxes in the Punnett square represent offspring with a woolly fleece or a hairy fleece, consider whether each phenotype is the dominant or recessive allele's version of the fleece type trait. The question tells you that the F allele, which is for a hairy fleece, is dominant over the f allele, which is for a woolly fleece.
A woolly fleece is the recessive allele's version of the fleece type trait. A sheep with the recessive version of the fleece type trait must have only recessive alleles for the fleece type gene. So, offspring with a woolly fleece must have the genotype ff.
All 4 boxes in the Punnett square have the genotype ff.
A hairy fleece is the dominant allele's version of the fleece type trait. A sheep with the dominant version of the fleece type trait must have at least one dominant allele for the fleece type gene. So, offspring with a hairy fleece must have the genotype FF or Ff.
There are 0 boxes in the Punnett square with the genotype FF or Ff.
So, the expected ratio of offspring with a woolly fleece to offspring with a hairy fleece is 4:0. This means that, based on the Punnett square, this cross will always produce offspring with a woolly fleece. This cross is expected to never produce offspring with a hairy fleece.",The four possible combinations of two dice,"User:Whatistheexpectedratioofoffspringwithawoollyfleecetooffspringwithahairyfleece?Choosethemostlikelyratio.A)0:4B)4:0C)2:2D)1:3E)3:1Theimagehasbeendescribedas:ThefourpossiblecombinationsoftwodiceLet'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B),C),D)orE)asyourfirstword. 
Assistant: The answer is D) 1:3. The expected ratio of offspring with a woolly fleece to offspring with a hairy fleece is 1:3. This is because the image has been described as the four possible combinations of two dice. We need to think step by step and explain our reasoning."
3,10,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=556x208 at 0x7FABCC50A860>,Which property do these three objects have in common?,"['shiny', 'slippery', 'opaque']",2,Select the best answer.,closed choice,grade4,natural science,physics,Materials,Compare properties of objects,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it.
Different objects can have properties in common. You can use these properties to put objects into groups. Grouping objects by their properties is called classification.","Look at each object.
For each object, decide if it has that property.
An opaque object does not let light through. All three objects are opaque.
A slippery object is hard to hold onto or stand on. The tortoise shell and the basketball are not slippery.
A shiny object reflects a lot of light. You can usually see your reflection in a shiny object. The crown is shiny, but the basketball is not.
The property that all three objects have in common is opaque.",Animals that start with the letter t,"User:Whichpropertydothesethreeobjectshaveincommon?A)shinyB)slipperyC)opaqueTheimagehasbeendescribedas:AnimalsthatstartwiththelettertLet'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B)orC)asyourfirstword. 
Assistant: The answer is opaque.
Explanation: The three objects are a tiger, a toothbrush, and a toilet. The tiger and the toothbrush are both shiny, but the toilet is not. The toothbrush and the toilet are both slippery, but the tiger is not. The tiger and the toothbrush are both opaque, but the toilet is not. Therefore, the correct answer is opaque."
4,13,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=575x171 at 0x7FABCC50A2C0>,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"['The magnitude of the magnetic force is the same in both pairs.', 'The magnitude of the magnetic force is smaller in Pair 1.', 'The magnitude of the magnetic force is smaller in Pair 2.']",2,"The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes and shapes.",closed choice,grade8,natural science,physics,"Velocity, acceleration, and forces",Compare magnitudes of magnetic forces,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces.
The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more strongly the magnets attract or repel each other.
You can change the magnitude of a magnetic force between two magnets by using magnets of different sizes. The magnitude of the magnetic force is smaller when the magnets are smaller.","Magnet sizes affect the magnitude of the magnetic force. Imagine magnets that are the same shape and made of the same material. The smaller the magnets, the smaller the magnitude of the magnetic force between them.
Magnet A is the same size in both pairs. But Magnet B is smaller in Pair 2 than in Pair 1. So, the magnitude of the magnetic force is smaller in Pair 2 than in Pair 1.","The two possible orientations of the magnetic field in a dipole antenna. The magnetic field is perpendicular to the electric field, as described by the right hand rule.","User:Thinkaboutthemagneticforcebetweenthemagnetsineachpair.Whichofthefollowingstatementsistrue?A)Themagnitudeofthemagneticforceisthesameinbothpairs.B)ThemagnitudeofthemagneticforceissmallerinPair1.C)ThemagnitudeofthemagneticforceissmallerinPair2.Theimagehasbeendescribedas:Thetwopossibleorientationsofthemagneticfieldinadipoleantenna.Themagneticfieldisperpendiculartotheelectricfield,asdescribedbytherighthandrule.Let'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B)orC)asyourfirstword. 
Assistant: The answer is A) The magnitude of the magnetic force is the same in both pairs."
5,17,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=518x80 at 0x7FABCC509000>,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"['The magnetic force is stronger in Pair 2.', 'The magnetic force is stronger in Pair 1.', 'The strength of the magnetic force is the same in both pairs.']",1,The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material.,closed choice,grade4,natural science,physics,Magnets,Compare strengths of magnetic forces,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other.
You can change the strength of a magnetic force between two magnets by changing the distance between them. The magnetic force is stronger when the magnets are closer together.","Distance affects the strength of the magnetic force. When magnets are closer together, the magnetic force between them is stronger.
The magnets in Pair 1 are closer together than the magnets in Pair 2. So, the magnetic force is stronger in Pair 1 than in Pair 2.",The two possible ways of connecting two 100-ohm resistors to make a 50-ohm resistor. The top one is the correct way.,"User:Thinkaboutthemagneticforcebetweenthemagnetsineachpair.Whichofthefollowingstatementsistrue?A)ThemagneticforceisstrongerinPair2.B)ThemagneticforceisstrongerinPair1.C)Thestrengthofthemagneticforceisthesameinbothpairs.Theimagehasbeendescribedas:Thetwopossiblewaysofconnectingtwo100-ohmresistorstomakea50-ohmresistor.Thetoponeisthecorrectway.Let'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B)orC)asyourfirstword. 
Assistant: The answer is A) The magnetic force is stronger in Pair 2."
6,19,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=750x429 at 0x7FABCC509F60>,What is the capital of Delaware?,"['Montpelier', 'Trenton', 'Dover', 'Georgetown']",2,,closed choice,grade3,social science,geography,State capitals,Identify state capitals of the Northeast,,Dover is the capital of Delaware.,States in the United States by population,"User:WhatisthecapitalofDelaware?A)MontpelierB)TrentonC)DoverD)GeorgetownTheimagehasbeendescribedas:StatesintheUnitedStatesbypopulationLet'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B),C)orD)asyourfirstword. 
Assistant: The answer is C) Dover."
7,21,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=750x429 at 0x7FABCC5097B0>,Which of these states is farthest north?,"['Maine', 'South Carolina', 'Kansas', 'Delaware']",0,,closed choice,grade3,social science,geography,Geography,Read a map: cardinal directions,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map.","To find the answer, look at the compass rose. Look at which way the north arrow is pointing. Maine is farthest north.","The approximate area of the Miami-Illinois language, with the Miami tribe shown in red and the Illinois tribe in orange.","User:Whichofthesestatesisfarthestnorth?A)MaineB)SouthCarolinaC)KansasD)DelawareTheimagehasbeendescribedas:TheapproximateareaoftheMiami-Illinoislanguage,withtheMiamitribeshowninredandtheIllinoistribeinorange.Let'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B),C)orD)asyourfirstword. 
Assistant: The answer is A) Maine. The Miami-Illinoislanguage is located in the northern part of the United States, and Maine is the farthest north of the given options."
8,23,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=728x266 at 0x7FABCC508910>,What can Greta and Allie trade to each get what they want?,"[""Greta can trade her tomatoes for Allie's sandwich."", ""Allie can trade her broccoli for Greta's oranges."", ""Allie can trade her almonds for Greta's tomatoes."", ""Greta can trade her tomatoes for Allie's broccoli.""]",3,"Trade happens when people agree to exchange goods and services. People give up something to get something else. Sometimes people barter, or directly exchange one good or service for another.
Greta and Allie open their lunch boxes in the school cafeteria. Both of them could be happier with their lunches. Greta wanted broccoli in her lunch and Allie was hoping for tomatoes. Look at the images of their lunches. Then answer the question below.",closed choice,grade6,social science,economics,Basic economic principles,Trade and specialization,,"Greta wanted broccoli in her lunch and Allie was hoping for tomatoes. Look at the labeled part of the images.
Greta has tomatoes. Allie has broccoli. They can trade tomatoes for broccoli to both be happier. Trading other things would not help either person get more items they want.",My first bento!,"User:WhatcanGretaandAllietradetoeachgetwhattheywant?A)GretacantradehertomatoesforAllie'ssandwich.B)AlliecantradeherbroccoliforGreta'soranges.C)AlliecantradeheralmondsforGreta'stomatoes.D)GretacantradehertomatoesforAllie'sbroccoli.Theimagehasbeendescribedas:Myfirstbento!Let'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B),C)orD)asyourfirstword. 
Assistant: The answer is D) Greta can trade her tomatoes for Allie's broccoli."
9,24,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=750x429 at 0x7FABCC509990>,What is the capital of Colorado?,"['Boulder', 'Phoenix', 'Colorado Springs', 'Denver']",3,,closed choice,grade5,social science,geography,State capitals,Identify the 50 state capitals,,Denver is the capital of Colorado.,Native States,"User:WhatisthecapitalofColorado?A)BoulderB)PhoenixC)ColoradoSpringsD)DenverTheimagehasbeendescribedas:NativeStatesLet'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B),C)orD)asyourfirstword. 
Assistant: The answer is D) Denver."
10,29,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=704x358 at 0x7FABCC509C00>,Which continent is highlighted?,"['Africa', 'North America', 'South America', 'Asia']",3,,closed choice,grade5,social science,geography,Oceans and continents,Identify oceans and continents,A continent is one of the major land masses on the earth. Most people say there are seven continents.,This continent is Asia.,"Distribution map of the common cuckoo (Cuculus canorus) according to IUCN version 2018.2 ,","User:Whichcontinentishighlighted?A)AfricaB)NorthAmericaC)SouthAmericaD)AsiaTheimagehasbeendescribedas:Distributionmapofthecommoncuckoo(Cuculuscanorus)accordingtoIUCNversion2018.2,Let'sthinkstepbystepandexplainyourreasoning!
MakesuretostateeitherA),B),C)orD)asyourfirstword. 
Assistant: The answer is D) Asia."
